,id_solicitante,id_viaje
10356,65,950
10557,66,3915
10594,66,1515
397,66,4433
10518,66,1889
6335,67,1041
10733,67,4806
10677,67,3686
10631,67,2113
10776,68,3391
10813,68,4452
10891,68,4426
10847,68,2244
11045,69,2963
10973,69,3115
10934,69,2185
11008,69,139
11188,70,1846
11113,70,1306
11148,70,2484
11080,70,1955
11304,71,1287
3667,71,653
11259,71,4911
11218,71,2339
11380,72,350
11425,72,2527
11339,72,3642
925,72,2202
11474,73,3721
11509,73,1259
7019,73,4639
11566,73,2921
11696,74,413
11606,74,2460
8572,74,2637
11654,74,4480
11745,75,2329
11783,75,4543
11824,75,4355
11854,75,4200
11962,76,4650
11925,76,3741
9647,76,4544
11885,76,4670
1616,77,1414
12007,77,3804
12058,77,2961
12095,77,4463
12193,78,3457
12138,78,2104
7020,78,4639
12240,78,507
12312,79,887
12280,79,3827
1251,79,2237
10238,79,1518
12475,80,819
12438,80,4120
12355,80,518
12394,80,2528
12512,81,4725
12586,81,1841
12629,81,4803
12544,81,2451
12737,82,158
12836,82,191
12685,82,4275
12785,82,1371
12883,83,3453
12918,83,3635
12954,83,4312
13003,83,3853
13087,84,2384
12194,84,3457
13044,84,3396
13131,84,2238
9946,85,3938
13272,85,3153
13179,85,2449
13230,85,3529
13425,86,2547
13389,86,3087
13308,86,2258
13354,86,3292
13496,87,1856
8533,87,886
3973,87,909
13464,87,1759
13534,88,2407
10558,88,3915
13572,88,4418
13612,88,1332
13660,89,542
3263,89,3048
13695,89,2863
13726,89,1839
13771,90,4288
12630,90,4803
13845,90,181
13815,90,1543
13925,91,3569
13968,91,4429
13883,91,4722
14000,91,4093
14175,92,4421
14104,92,4450
14147,92,3654
14049,92,1006
14263,93,2277
14312,93,2882
14365,93,3063
14219,93,2153
14493,94,2158
14533,94,1535
14401,94,951
14447,94,2383
14650,95,2381
14611,95,2326
14570,95,1132
14680,95,3840
793,96,4992
14812,96,367
14729,96,4968
14765,96,719
14853,97,3398
14896,97,1122
14932,97,510
14964,97,1592
15044,98,2012
15128,98,118
15016,98,3740
15082,98,932
15301,99,2621
15166,99,4994
15250,99,3050
15207,99,3592
14897,100,1122
15411,100,696
15371,100,3558
15340,100,1658
15522,101,338
15564,101,4500
15492,101,48
15456,101,3271
15707,102,3353
15626,102,1374
15670,102,204
15596,102,3599
15873,103,4838
15828,103,1134
15747,103,552
15795,103,3413
15912,104,2150
16040,104,4292
16008,104,861
15962,104,2703
16157,105,1270
16121,105,1600
16086,105,1320
16190,105,2427
16264,106,3864
16348,106,3377
16225,106,2797
16301,106,314
16427,107,4444
16472,107,986
16382,107,1627
13696,107,2863
16265,108,3864
16519,108,245
16557,108,3981
16595,108,4035
16687,109,1450
16645,109,485
16737,109,3128
7202,109,101
16771,110,1221
16805,110,4732
16878,110,4304
16843,110,4719
17024,111,1330
16955,111,657
16916,111,211
16989,111,3088
17102,112,2446
17138,112,1454
17181,112,167
17054,112,3510
17256,113,2831
17225,113,3202
17300,113,522
17344,113,4593
17387,114,1547
17471,114,296
17433,114,3954
10396,114,2499
17509,115,273
17628,115,3992
17551,115,2919
17592,115,2798
12008,116,3804
17750,116,481
17712,116,4031
17669,116,3318
17884,117,4081
17921,117,30
17838,117,2899
17792,117,4467
18053,118,3531
17963,118,862
18002,118,416
15129,118,118
18109,119,3484
18157,119,3616
18199,119,2259
18254,119,4185
18349,120,1309
18392,120,4740
18255,120,4185
18302,120,2650
18560,121,872
18527,121,4131
18489,121,3809
18442,121,4816
18638,122,722
532,122,600
18592,122,47
18681,122,2607
18719,123,2042
15597,123,3599
18760,123,4082
18800,123,667
18881,124,2266
18961,124,1843
18849,124,2686
18923,124,3275
19132,125,3297
19062,125,3496
19002,125,4161
19099,125,966
19216,126,524
3974,126,909
19178,126,3578
15829,126,1134
19251,127,1561
19285,127,117
19358,127,2592
19323,127,1171
19439,128,2240
19477,128,428
19516,128,1896
19394,128,3982
19644,129,2550
19561,129,4402
19679,129,3261
19596,129,3849
19849,130,3865
19723,130,282
19768,130,2221
19808,130,3641
20009,131,157
19976,131,3961
19886,131,2250
19929,131,3346
20138,132,660
20172,132,4219
20046,132,3996
20094,132,4776
20226,133,469
20269,133,3256
20356,133,3477
20310,133,683
20449,134,2787
8702,134,431
20483,134,289
20395,134,4300
20634,135,421
20600,135,3715
20518,135,19
20554,135,2589
20716,136,984
20674,136,3045
7487,136,1938
20754,136,724
20866,137,700
20908,137,4630
20782,137,4087
20826,137,3259
6938,138,4762
20984,138,1027
21025,138,4642
20947,138,3516
21098,139,4729
21063,139,3863
4238,139,3034
10814,139,4452
21141,140,3319
21174,140,1793
21221,140,4835
20047,140,3996
794,141,4992
21300,141,1777
21270,141,980
21337,141,536
21403,142,2634
21447,142,2999
21363,142,3525
21493,142,1783
21540,143,263
21588,143,2827
21641,143,1802
21688,143,1164
15251,144,3050
21735,144,1001
21819,144,2182
21779,144,1696
21857,145,2732
21985,145,3993
21901,145,2013
21943,145,4683
22032,146,2011
22081,146,4257
7567,146,2001
22112,146,2246
22160,147,2762
22201,147,3630
22253,147,4867
22282,147,2952
22390,148,1475
22316,148,3662
22425,148,3818
22354,148,4345
22506,149,4448
22579,149,4306
22545,149,3645
22470,149,4759
22709,150,1559
22658,150,3144
22621,150,4788
22744,150,4115
22824,151,2096
22780,151,1117
22868,151,44
16917,151,211
22914,152,4815
22956,152,3877
22254,152,4867
13535,152,2407
22994,153,3976
23031,153,3764
23069,153,650
23113,153,2247
23196,154,349
23243,154,1118
23291,154,3674
23148,154,353
23381,155,1491
23326,155,177
23418,155,779
6939,155,4762
23577,156,773
23455,156,1250
23537,156,3219
23497,156,1379
23661,157,2074
23632,157,4581
23706,157,46
23759,157,1930
23807,158,3621
23846,158,1372
23893,158,2850
23934,158,644
23971,159,1303
24086,159,4439
24035,159,901
24005,159,2894
24163,160,4655
24199,160,3595
13727,160,1839
24125,160,3607
24361,161,3867
24314,161,3708
24281,161,4675
24238,161,1635
24434,162,4674
24520,162,2154
24469,162,397
24401,162,4809
24649,163,2140
24613,163,3418
24569,163,4984
24685,163,2906
16879,164,4304
24776,164,57
24816,164,4053
24726,164,4398
24921,165,565
24964,165,4794
24854,165,623
24882,165,4972
25032,166,4293
25070,166,1554
25108,166,3787
24992,166,2088
25289,167,3180
25245,167,4372
25199,167,360
25148,167,381
5863,168,3923
25328,168,706
25371,168,963
16428,168,4444
25478,169,3265
25426,169,699
13497,169,1856
25523,169,3999
25607,170,2199
25565,170,1101
25640,170,3832
25681,170,591
7405,171,2690
25718,171,2718
25754,171,4948
25800,171,1849
25961,172,1373
25920,172,965
25844,172,3839
25881,172,566
25995,173,580
18962,173,1843
26087,173,4932
26039,173,4364
26118,174,254
26163,174,3030
24435,174,4674
26208,174,4738
26245,175,3660
26289,175,4041
16596,175,4035
26332,175,939
26384,176,321
26499,176,4317
26459,176,4302
26419,176,4069
26537,177,1065
26578,177,777
6129,177,2156
3711,177,4679
26662,178,597
20985,178,1027
26710,178,4122
26615,178,1623
26791,179,1667
26873,179,2301
26836,179,4970
26753,179,4075
26917,180,2344
27003,180,4990
27036,180,4908
26961,180,3362
27072,181,1113
27121,181,3178
27203,181,3347
27157,181,4767
12587,182,1841
27341,182,2756
27300,182,975
27255,182,1993
27464,183,3895
21642,183,1802
27381,183,15
27418,183,2805
27511,184,4799
27548,184,3331
27621,184,2880
27590,184,1129
27703,185,4595
27660,185,3960
27787,185,2910
27747,185,2467
20010,186,157
27913,186,2203
27865,186,404
27831,186,4753
27122,187,3178
27991,187,1345
28029,187,2211
27959,187,4447
28156,188,4025
28114,188,3431
28076,188,170
28198,188,1953
28357,189,4179
28267,189,848
28234,189,3690
28311,189,2188
28404,190,201
12545,190,2451
28448,190,1008
28480,190,987
28520,191,3465
28606,191,1829
28648,191,2836
28568,191,3209
28734,192,1564
28812,192,2268
28685,192,4100
28775,192,1426
28849,193,2670
28891,193,4643
28979,193,2055
28931,193,4887
29106,194,7
8310,194,1643
29020,194,505
29063,194,3012
29173,195,2897
3305,195,4933
16772,195,1221
29140,195,1492
29299,196,755
2262,196,1615
29219,196,159
29256,196,1452
29424,197,2125
29373,197,133
29337,197,4577
29468,197,817
29560,198,2648
29511,198,3223
29596,198,4874
11426,198,2527
29718,199,493
29638,199,3586
29671,199,718
29768,199,2544
29875,200,1722
29843,200,3161
29924,200,4958
29801,200,2694
20450,201,2787
29965,201,2347
30011,201,3142
30052,201,1817
30091,202,616
22113,202,2246
30122,202,2389
17025,202,1330
30200,203,3075
30161,203,2806
30244,203,2172
16349,203,3377
30280,204,4902
30321,204,4996
26837,204,4970
30357,204,1494
30394,205,1528
30473,205,2186
30509,205,395
30426,205,1254
30666,206,3511
30549,206,3173
30615,206,2431
30581,206,4374
30772,207,1506
30739,207,2609
30706,207,3854
15874,207,4838
30857,208,1026
30897,208,31
30818,208,4882
30944,208,2030
30990,209,2205
31030,209,4211
31071,209,960
966,209,1463
31098,210,2391
5798,210,2597
31159,210,1061
31125,210,4285
31307,211,1099
31207,211,2792
31245,211,3195
31277,211,2931
31435,212,1863
31393,212,2352
31477,212,363
31351,212,3393
31647,213,1023
31600,213,1257
31561,213,4587
31522,213,330
10397,214,2499
31693,214,3816
31743,214,40
19850,214,3865
31822,215,674
6219,215,4336
31871,215,4858
31780,215,1837
31946,216,2476
32024,216,2450
31983,216,3293
31908,216,4237
32068,217,3068
32181,217,2688
32100,217,3874
32138,217,3602
20867,218,700
32229,218,1838
32313,218,4117
32270,218,1556
32399,219,3577
32479,219,2415
32434,219,379
32358,219,3099
24036,220,901
32556,220,2027
32594,220,659
32515,220,1437
32671,221,2691
32637,221,179
24239,221,1635
32719,221,588
4092,222,1403
32764,222,260
22471,222,4759
32801,222,1063
32870,223,2651
32842,223,1834
9568,223,1413
32915,223,4354
18003,224,416
32182,224,2688
32954,224,56
33000,224,301
33121,225,3782
33038,225,4955
33163,225,640
33082,225,1824
33280,226,799
33205,226,3031
33238,226,2137
33328,226,244
33518,227,1031
33467,227,1348
33420,227,2804
33376,227,1016
33592,228,3182
33550,228,1678
33633,228,587
8795,228,3294
33676,229,1879
33722,229,4218
33818,229,4079
33771,229,3234
4530,230,2791
33933,230,3667
33894,230,3360
33859,230,180
33976,231,4264
16558,231,3981
34017,231,4564
34057,231,646
34134,232,897
33039,232,4955
34172,232,1757
34092,232,1796
34213,233,3158
34325,233,3908
34290,233,3802
34248,233,731
34406,234,3557
34370,234,2784
34458,234,3545
34507,234,2110
34546,235,3367
34623,235,1233
16738,235,3128
34589,235,4301
24402,236,4809
34674,236,4935
13390,236,3087
20601,236,3715
34781,237,831
34817,237,424
34743,237,399
34703,237,3327
34908,238,1485
34945,238,4098
34857,238,3768
4143,238,3597
34976,239,2726
22957,239,3877
35061,239,150
35018,239,3767
35217,240,427
35145,240,2560
35112,240,4884
35185,240,3731
35261,241,3752
35292,241,4358
35378,241,2038
35335,241,3789
35456,242,1730
35507,242,4001
29300,242,755
35418,242,1252
35623,243,4026
35547,243,1510
35586,243,582
34704,243,3327
35704,244,2599
35653,244,123
35741,244,2939
27256,244,1993
35783,245,352
35814,245,4896
35857,245,3485
35893,245,2293
35979,246,4666
36019,246,4721
35932,246,1478
9467,246,3471
36150,247,4395
36185,247,956
36106,247,168
36059,247,3127
36275,248,3888
36314,248,3055
36230,248,2390
36350,248,4916
36525,249,3273
36487,249,4428
36386,249,2261
36435,249,3506
36677,250,1483
36559,250,3400
36638,250,1480
36608,250,4346
36730,251,3172
25566,251,1101
36769,251,643
36729,251,3172
28735,252,1564
36854,252,4956
36805,252,2061
8834,252,109
36895,253,2930
37019,253,2138
36929,253,3460
36973,253,2871
12955,254,4312
37061,254,4591
13180,254,2449
37102,254,3489
37265,255,4783
37181,255,996
37211,255,4280
37140,255,3936
37305,256,1186
16844,256,4719
2346,256,490
32230,256,1838
5864,257,3923
25149,257,381
37356,257,2598
37392,257,64
37511,258,445
37471,258,4267
37433,258,4014
76,258,857
37557,259,4333
37586,259,2653
37670,259,3527
37631,259,1512
37806,260,1248
37714,260,3468
37852,260,1201
37759,260,3215
37889,261,4144
38013,261,2234
37975,261,3018
37934,261,2752
38054,262,4905
38127,262,4541
38170,262,946
38087,262,4766
38257,263,4701
38222,263,1888
38355,263,344
38295,263,93
38479,264,3985
38522,264,4461
38436,264,655
38398,264,2304
38594,265,3402
29512,265,3223
28850,265,2670
38559,265,3875
38707,266,2228
1050,266,864
38630,266,3778
38664,266,2090
38795,267,2317
7932,267,586
38743,267,359
38843,267,2023
38877,268,2046
1465,268,2723
38967,268,1695
38923,268,762
39047,269,1788
39004,269,442
39094,269,1578
19851,269,3865
874,270,209
24521,270,2154
39133,270,4597
39179,270,802
39266,271,3696
39339,271,1388
39221,271,3472
39300,271,2721
39505,272,2272
39429,272,2572
39388,272,1753
39471,272,2843
39543,273,2356
17593,273,2798
39632,273,4814
39592,273,2826
9610,274,2456
39679,274,3332
20357,274,3477
28358,274,4179
39720,275,3753
39752,275,2422
39784,275,4011
32359,275,3099
39818,276,2801
39863,276,572
39898,276,3435
39927,276,4308
40032,277,278
39997,277,2954
40077,277,4470
39966,277,1672
40161,278,3298
40119,278,2073
11746,278,2329
40203,278,2553
36560,279,3400
6474,279,1573
40281,279,621
40239,279,2194
40320,280,4698
33040,280,4955
40411,280,37
40361,280,452
40507,281,2170
40453,281,635
40545,281,2459
40585,281,3118
40650,282,1068
40616,282,876
40699,282,2773
40737,282,3774
40821,283,4609
31478,283,363
40776,283,1353
40859,283,3066
41010,284,562
40898,284,1304
40938,284,1106
40977,284,2728
41094,285,3146
41056,285,3132
41183,285,2942
41136,285,4322
32271,286,1556
41220,286,4538
41253,286,3117
41302,286,1412
41383,287,6
41334,287,474
41421,287,2682
27748,287,2467
41461,288,4757
41599,288,1887
41510,288,3562
41558,288,1997
41748,289,97
40939,289,1106
41695,289,3213
41647,289,2554
41790,290,1868
41827,290,3262
10519,290,1889
41868,290,2406
35894,291,2293
41939,291,1196
41981,291,1489
41910,291,4677
42068,292,4492
42143,292,922
42100,292,4941
42032,292,3626
42214,293,2159
42179,293,2209
9689,293,870
14854,293,3398
42251,294,3883
42288,294,1830
7281,294,4129
42328,294,3218
42456,295,2579
42362,295,2273
36387,295,2261
42404,295,480
42531,296,1626
42617,296,877
42499,296,2311
42575,296,1969
42733,297,839
29672,297,718
42695,297,1308
42654,297,1877
31394,298,2352
42774,298,1821
42828,298,285
42865,298,757
42982,299,2662
36639,299,1480
42949,299,4657
42904,299,1354
43153,300,4313
43103,300,3270
43060,300,1241
43017,300,3697
43230,301,3534
43318,301,2122
43275,301,1048
43189,301,232
43407,302,3748
43487,302,176
43449,302,808
43361,302,361
43594,303,2991
28521,303,3465
43565,303,4959
43528,303,1911
12546,304,2451
43637,304,2009
43723,304,1847
43681,304,4105
43768,305,4804
21364,305,3525
43802,305,1446
43835,305,1226
43880,306,905
43930,306,2270
12786,306,1371
43978,306,1910
44028,307,2505
44100,307,2404
44067,307,4830
9611,307,2456
44233,308,944
44186,308,1442
44277,308,39
44144,308,2141
44403,309,1652
1586,309,18
44363,309,1334
44323,309,61
44485,310,2290
44581,310,4360
44440,310,1954
44529,310,3151
117,311,3371
44624,311,2566
44670,311,2727
31246,311,3195
44757,312,2696
44790,312,1752
1298,312,429
44709,312,4038
44825,313,2812
44866,313,271
22825,313,2096
44909,313,4251
45037,314,3724
45085,314,2821
44955,314,999
44998,314,4135
45158,315,509
45184,315,2649
45222,315,4665
45118,315,3498
45275,316,1283
45352,316,436
35379,316,2038
45320,316,33
45429,317,4673
45474,317,632
45502,317,1718
45384,317,4795
45577,318,3493
45535,318,1046
22202,318,3630
14612,318,2326
45621,319,2989
45666,319,1094
45716,319,385
4971,319,2071
45769,320,90
16880,320,4304
45803,320,1448
45841,320,173
45926,321,4781
45963,321,2707
46008,321,805
45885,321,2359
46081,322,2078
22283,322,2952
46040,322,3301
26538,322,1065
46120,323,129
19478,323,428
46157,323,690
46198,323,4925
46229,324,1814
46356,324,2095
46268,324,3248
46314,324,3306
46486,325,4241
46443,325,2212
20270,325,3256
46400,325,2256
46528,326,3042
46604,326,2856
32672,326,2691
46570,326,1906
46654,327,1707
6717,327,2004
46699,327,573
46735,327,1981
46813,328,411
46779,328,2714
46854,328,3385
46894,328,4571
10678,329,3686
47007,329,1807
46935,329,3122
46967,329,4818
17026,330,1330
47043,330,2330
47078,330,1637
44187,330,1442
47238,331,3302
47167,331,4928
47199,331,1410
47125,331,4889
47274,332,4844
47355,332,2245
47317,332,1708
4239,332,3034
33895,333,3360
47433,333,3147
47400,333,4382
6220,333,4336
47550,334,4244
47593,334,4527
47505,334,3246
47474,334,4532
47757,335,3438
47680,335,3133
47718,335,4040
47636,335,1575
47843,336,936
47884,336,1842
47799,336,3333
47923,336,4070
48055,337,2171
11607,337,2460
48008,337,1176
47965,337,3665
48092,338,4967
11475,338,3721
9901,338,3356
48132,338,1440
48294,339,4906
48254,339,3250
48167,339,3946
48208,339,132
48451,340,1778
48335,340,4614
48378,340,981
48421,340,3681
48539,341,611
48569,341,1010
48605,341,1719
48492,341,4290
48658,342,4516
48706,342,3568
4144,342,3597
48748,342,4276
48891,343,3850
48789,343,849
48931,343,2328
48842,343,2889
39544,344,2356
31126,344,4285
31823,344,674
48971,344,288
49047,345,988
49002,345,4638
29425,345,2125
49089,345,3582
16956,346,657
49173,346,2753
49128,346,3598
49210,346,4678
49254,347,3308
42457,347,2579
49289,347,4979
18443,347,4816
16158,348,1270
49335,348,3921
44999,348,4135
49374,348,3728
49491,349,2325
49449,349,2523
49414,349,1610
49527,349,2693
49627,350,1269
44101,350,2404
30162,350,2806
49569,350,119
49667,351,3763
49705,351,272
49787,351,3373
49746,351,1805
49876,352,3524
49912,352,1599
40454,352,635
49834,352,3101
49952,353,4315
50096,353,4393
50000,353,2340
50052,353,3503
50173,354,765
437,354,945
50136,354,4903
50213,354,1526
17388,355,1547
50348,355,2855
50306,355,3810
50255,355,346
19562,356,4402
7021,356,4639
50373,356,2271
50406,356,50
50502,357,549
44826,357,2812
50452,357,2183
50547,357,309
50620,358,21
50583,358,2763
21689,358,1164
50656,358,3988
50703,359,2777
50790,359,4723
16226,359,2797
50742,359,4714
50830,360,3613
6409,360,4148
50869,360,4056
33593,360,3182
50953,361,1669
9468,361,3471
15671,361,204
50906,361,3411
30201,362,3075
10595,362,1515
50997,362,4741
51038,362,3719
36731,363,3172
51080,363,3966
51156,363,2955
51117,363,1277
32069,364,3068
51188,364,1531
24403,364,4809
51227,364,4589
51300,365,3572
51268,365,3705
29513,365,3223
51344,365,335
51373,366,320
51491,366,2733
51447,366,4310
51411,366,3164
51567,367,2712
51538,367,2904
51645,367,4207
51603,367,2495
51795,368,697
51677,368,852
51760,368,4506
51721,368,4341
51843,369,4922
22033,369,2011
51881,369,2332
40,369,2035
52047,370,1662
51998,370,2978
51931,370,1029
51966,370,624
52147,371,2665
52176,371,3948
52117,371,4594
52085,371,2017
2782,372,749
52264,372,2612
4343,372,3187
52223,372,1263
1669,373,3955
16773,373,1221
52302,373,1892
13391,373,3087
35654,374,123
52428,374,3652
52349,374,286
52395,374,3567
52544,375,34
52469,375,934
52598,375,2655
52508,375,3603
52641,376,3709
52686,376,2469
52767,376,1365
52727,376,1328
52853,377,4052
52943,377,920
52897,377,4061
52821,377,2990
52982,378,1187
2198,378,1208
11747,378,2329
53033,378,1741
3179,379,2423
21222,379,4835
53087,379,72
53127,379,3134
13697,380,2863
35858,380,3485
53165,380,3541
53203,380,1497
19852,381,3865
53251,381,3469
27123,381,3178
46814,381,411
41869,382,2406
53330,382,2737
31352,382,3393
53295,382,3428
53367,383,1965
45622,383,2989
53417,383,1479
53449,383,4137
53502,384,3286
53633,384,2852
53585,384,4155
53545,384,1393
53706,385,3343
7792,385,2462
53738,385,4943
53674,385,2474
37306,386,1186
53871,386,1709
53824,386,714
53776,386,306
53990,387,2675
54028,387,2994
53915,387,2746
53952,387,2927
54069,388,430
1617,388,1414
54113,388,1449
54158,388,2630
54249,389,2677
54208,389,1869
31523,389,330
18720,389,2042
54429,390,71
54336,390,3300
54377,390,4622
54293,390,3632
54513,391,3420
54471,391,598
2199,391,1208
54564,391,728
24315,392,3708
54595,392,1150
54634,392,153
6381,392,1103
6893,393,1357
54716,393,4451
54759,393,1258
54678,393,1211
14681,394,3840
41696,394,3213
54810,394,4124
19724,394,282
54858,395,1298
54902,395,1604
19324,395,1171
54941,395,3423
55114,396,3676
55027,396,1585
55071,396,1513
54976,396,4303
55227,397,2514
55150,397,4951
55190,397,2840
32183,397,2688
46444,398,2212
55266,398,1948
55306,398,3564
55347,398,2542
55458,399,846
438,399,945
55428,399,1262
55386,399,1642
44910,400,4251
34459,400,3545
55528,400,1079
55495,400,3211
55568,401,4188
55616,401,2187
55654,401,1540
11825,401,4355
55774,402,3691
55690,402,2947
55824,402,1325
55726,402,3784
55914,403,1852
55871,403,813
55954,403,2891
56007,403,795
56043,404,3563
28312,404,2188
13969,404,4429
56091,404,3093
16041,405,4292
56216,405,1160
56177,405,3021
56131,405,1638
46487,406,4241
56258,406,847
10321,406,3965
52983,406,1187
439,407,945
56300,407,2155
56373,407,4570
56343,407,156
56449,408,1538
56488,408,4446
56410,408,1216
17103,408,2446
56605,409,4327
56559,409,3107
56525,409,4552
56649,409,3036
56775,410,2935
56694,410,4713
56737,410,499
56821,410,2253
6813,411,3556
5445,411,2869
56909,411,4210
56868,411,1032
56986,412,3935
875,412,209
56947,412,656
4344,412,3187
57072,413,3890
57117,413,1074
57158,413,5000
57031,413,2890
57235,414,4
57194,414,1136
52642,414,3709
44188,414,1442
57268,415,1566
57328,415,2168
57302,415,3422
16559,415,3981
57411,416,202
57451,416,4377
57374,416,1862
1747,416,2918
57592,417,2466
57503,417,3492
57642,417,4318
57552,417,3852
57750,418,4849
57827,418,3041
57782,418,545
57706,418,686
57868,419,3103
57907,419,3240
57993,419,1982
57944,419,1486
58069,420,2901
33551,420,1678
18256,420,4185
58038,420,1399
58179,421,4873
58138,421,4620
23456,421,1250
58105,421,806
29966,422,2347
58278,422,4240
58236,422,783
58325,422,145
58444,423,3482
58404,423,121
21448,423,2999
58356,423,4403
58476,424,929
21902,424,2013
58519,424,1080
58563,424,3495
58604,425,1680
58687,425,1503
58721,425,443
58650,425,4331
58759,426,4216
58837,426,2433
58880,426,3017
58800,426,2640
43724,427,1847
58981,427,8
58937,427,2360
59016,427,468
59054,428,3871
59086,428,4253
59132,428,96
36974,428,2871
59165,429,3732
59227,429,1866
23114,429,2247
59189,429,3092
59294,430,3210
50307,430,3810
12139,430,2104
59265,430,832
59395,431,3761
6410,431,4148
59346,431,3299
59450,431,2593
38296,432,93
59536,432,1273
59493,432,4965
28268,432,848
59612,433,4472
59573,433,4392
59642,433,4509
55529,433,1079
59734,434,1163
8190,434,162
20675,434,3045
59679,434,3678
59820,435,551
59772,435,370
59854,435,2656
44486,435,2290
59889,436,2282
59925,436,1521
18882,436,2266
45038,436,3724
60037,437,2818
60077,437,2652
60000,437,1128
59961,437,1011
58801,438,2640
60118,438,3773
60208,438,1015
60161,438,3605
7488,439,1938
60315,439,4114
60273,439,4726
60241,439,3403
50704,440,2777
2440,440,3672
51039,440,3719
60369,440,2464
60494,441,3882
60446,441,1764
60409,441,4164
23244,441,1118
60529,442,2581
60601,442,3177
60565,442,2992
16739,442,3128
60647,443,85
37266,443,4783
53777,443,306
41057,443,3132
60758,444,2660
60726,444,1760
60682,444,2699
60802,444,619
60845,445,784
55617,445,2187
60887,445,2539
60929,445,4401
533,446,600
61028,446,1665
60997,446,1539
60960,446,1093
61107,447,148
61141,447,1826
61068,447,917
59494,447,4965
54811,448,4124
61182,448,251
61225,448,3618
61276,448,2387
61325,449,4879
61399,449,3023
61363,449,911
