,destino,plazas,duracion_dias,coste_viaje_dia,coste_viaje_final,huella_carbono
427,La Alberca,13,2,70,140,3
428,Tarragona,19,8,110,880,1
429,Cudillero,15,9,40,360,19
430,Ourense,2,6,100,600,9
431,Las Palmas de Gran Canaria,1,2,90,180,13
432,Almagro,7,9,40,360,20
433,Córdoba,1,6,75,450,10
434,Sevilla,2,3,90,270,10
435,Valverde de los Arroyos,4,9,30,270,9
436,Logroño,14,9,75,675,26
437,Cáceres,0,3,90,270,24
438,Combarro,17,5,60,300,20
439,Peñíscola,17,5,70,350,12
440,Valldemossa,1,2,70,140,25
441,Badajoz,12,5,90,450,11
442,Ujué,1,2,70,140,16
443,Oviedo,2,9,70,630,13
444,Badajoz,17,4,100,400,13
445,Albarracín,8,7,30,210,6
446,Monteagudo de las Vicarías,19,2,30,60,29
447,Almagro,1,2,40,80,25
448,Murcia,7,6,130,780,19
449,Pontevedra,5,9,70,630,7
450,Morella,9,8,60,480,23
451,Ourense,13,7,90,630,2
452,Combarro,7,4,40,160,29
453,Aínsa,5,4,60,240,18
454,Bilbao,11,1,100,100,3
455,Valldemossa,10,3,70,210,4
456,Valldemossa,9,7,40,280,25
457,Alquézar,14,6,40,240,23
458,Albarracín,5,4,70,280,15
459,Oviedo,9,9,70,630,7
460,Aínsa,16,3,30,90,1
461,Valldemossa,7,7,70,490,24
462,Lleida,15,7,90,630,0
463,Trujillo,6,4,40,160,15
464,Palencia,12,1,130,130,17
465,Chinchón,8,5,30,150,13
466,Cuenca,1,9,75,675,0
467,Zamora,10,5,130,650,26
468,Combarro,10,2,40,80,28
469,Huelva,0,7,75,525,0
470,Cadaqués,18,2,50,100,3
471,Madrid,6,6,80,480,16
472,Guadalajara,19,5,130,650,22
473,Cáceres,8,3,110,330,11
474,Pamplona,3,3,130,390,24
475,Palencia,1,9,100,900,23
476,Frigiliana,2,2,40,80,2
477,Trujillo,5,4,50,200,18
478,Huelva,3,2,80,160,27
479,Poza de la Sal,6,3,60,180,14
480,Barcelona,15,5,80,400,18
481,Valverde de los Arroyos,15,6,50,300,6
482,Chinchón,3,6,40,240,26
483,Madrid,7,4,110,440,27
484,Zaragoza,6,2,90,180,2
485,Soria,17,8,90,720,0
486,Ronda,1,1,60,60,12
487,Peñalba de Santiago,2,7,40,280,17
488,Barcelona,6,1,110,110,10
489,Alcalá del Júcar,4,6,30,180,23
490,Lleida,11,4,90,360,5
491,Toledo,7,5,75,375,10
492,Las Palmas de Gran Canaria,14,3,110,330,25
493,Almagro,10,6,40,240,12
494,Ronda,17,3,60,180,16
495,Zamora,2,1,75,75,27
496,Murcia,8,4,80,320,26
497,Morella,12,7,30,210,24
498,Huelva,2,9,130,1170,8
499,Zaragoza,4,3,80,240,5
