,id_solicitante,renta,pension,tipo_pension,estado_civil,pension_conyuge
91,92,0,11105,tipo_1,soltero/a,21889
92,93,12000,19107,tipo_5,casado/a,
93,94,8400,24124,tipo_7,soltero/a,16568
94,95,18000,18928,tipo_5,casado/a,
95,96,8400,32486,tipo_10,soltero/a,
96,97,15000,31741,tipo_10,soltero/a,
97,98,18000,26581,tipo_8,casado/a,
98,99,8400,16840,tipo_4,casado/a,
99,100,15000,27684,tipo_9,soltero/a,32437
100,101,15000,23132,tipo_7,casado/a,
101,102,8400,15644,tipo_3,casado/a,
102,103,12000,31630,tipo_10,viudo/a,
103,104,8400,33187,tipo_10,soltero/a,
104,105,18000,32909,tipo_10,casado/a,21770
105,106,8400,21477,tipo_6,casado/a,
106,107,21000,39633,tipo_10,viudo/a,
107,108,18000,18699,tipo_4,soltero/a,
108,109,8400,21044,tipo_6,viudo/a,
109,110,0,26676,tipo_8,casado/a,
110,111,0,23908,tipo_7,casado/a,
111,112,15000,6889,tipo_1,soltero/a,7962
112,113,18000,40090,tipo_10,casado/a,
113,114,15000,19155,tipo_5,viudo/a,9015
114,115,21000,37913,tipo_10,viudo/a,
115,116,0,18997,tipo_5,soltero/a,
116,117,0,15704,tipo_3,casado/a,10702
117,118,0,26963,tipo_8,viudo/a,
118,119,0,15687,tipo_3,casado/a,31239
119,120,15000,32762,tipo_10,soltero/a,
120,121,18000,30605,tipo_10,viudo/a,
121,122,15000,25220,tipo_8,soltero/a,18580
122,123,12000,24233,tipo_7,casado/a,
123,124,15000,14944,tipo_3,soltero/a,
124,125,21000,29610,tipo_10,soltero/a,
125,126,12000,32737,tipo_10,soltero/a,40429
126,127,12000,23439,tipo_7,viudo/a,
127,128,8400,37789,tipo_10,soltero/a,
128,129,18000,21048,tipo_6,viudo/a,20807
129,130,21000,25877,tipo_8,viudo/a,32175
130,131,18000,31697,tipo_10,casado/a,26575
131,132,8400,37656,tipo_10,casado/a,13012
132,133,0,40769,tipo_10,casado/a,
133,134,21000,36454,tipo_10,soltero/a,
134,135,0,40825,tipo_10,casado/a,9144
135,136,8400,19649,tipo_5,soltero/a,
136,137,0,26550,tipo_8,viudo/a,
137,138,12000,30705,tipo_10,casado/a,
138,139,0,35800,tipo_10,casado/a,
139,140,21000,18968,tipo_5,casado/a,
140,141,15000,13204,tipo_2,soltero/a,
141,142,12000,16947,tipo_4,soltero/a,
142,143,21000,29955,tipo_10,viudo/a,
143,144,0,33935,tipo_10,casado/a,29316
144,145,8400,7421,tipo_1,viudo/a,40650
145,146,18000,11361,tipo_1,soltero/a,
146,147,8400,10573,tipo_1,viudo/a,19140
147,148,0,33518,tipo_10,soltero/a,28032
148,149,15000,10884,tipo_1,casado/a,
149,150,8400,12693,tipo_2,soltero/a,
150,151,15000,32456,tipo_10,viudo/a,
151,152,0,40723,tipo_10,soltero/a,
152,153,18000,25615,tipo_8,viudo/a,
153,154,18000,7700,tipo_1,viudo/a,27923
154,155,15000,37703,tipo_10,soltero/a,23002
155,156,18000,13576,tipo_2,viudo/a,36651
156,157,8400,14107,tipo_2,soltero/a,17940
157,158,18000,36241,tipo_10,soltero/a,
158,159,15000,37207,tipo_10,casado/a,
159,160,8400,27083,tipo_8,viudo/a,
160,161,15000,13399,tipo_2,casado/a,22951
161,162,15000,30300,tipo_10,casado/a,19163
162,163,18000,31484,tipo_10,soltero/a,
163,164,18000,8217,tipo_1,soltero/a,8591
164,165,12000,35970,tipo_10,viudo/a,39733
165,166,21000,8629,tipo_1,casado/a,13808
166,167,8400,14909,tipo_3,soltero/a,
167,168,8400,12418,tipo_1,viudo/a,14473
168,169,15000,11360,tipo_1,viudo/a,
169,170,0,24856,tipo_7,soltero/a,35144
170,171,15000,20343,tipo_5,viudo/a,
171,172,21000,21348,tipo_6,soltero/a,
172,173,15000,10023,tipo_1,casado/a,
173,174,12000,14454,tipo_2,casado/a,
174,175,8400,41730,tipo_10,soltero/a,34252
175,176,15000,7001,tipo_1,viudo/a,
176,177,21000,38263,tipo_10,soltero/a,16768
177,178,0,27407,tipo_9,casado/a,
178,179,18000,37097,tipo_10,viudo/a,
179,180,15000,31109,tipo_10,viudo/a,
180,181,18000,13612,tipo_2,casado/a,
181,182,15000,31896,tipo_10,casado/a,
182,183,15000,21408,tipo_6,soltero/a,
183,184,8400,35896,tipo_10,casado/a,
184,185,21000,25528,tipo_8,viudo/a,19074
185,186,8400,21307,tipo_6,casado/a,
186,187,21000,23063,tipo_6,viudo/a,
187,188,8400,18666,tipo_4,viudo/a,
188,189,15000,7794,tipo_1,soltero/a,
189,190,8400,30856,tipo_10,casado/a,31137
190,191,21000,27583,tipo_9,soltero/a,40672
191,192,0,12892,tipo_2,casado/a,17738
192,193,0,12107,tipo_1,soltero/a,38736
193,194,0,15855,tipo_3,casado/a,
194,195,0,34919,tipo_10,soltero/a,
195,196,12000,32909,tipo_10,viudo/a,24752
196,197,0,8238,tipo_1,casado/a,
197,198,21000,25735,tipo_8,casado/a,
198,199,21000,17929,tipo_4,casado/a,
199,200,21000,11882,tipo_1,viudo/a,
200,201,18000,41758,tipo_10,soltero/a,38125
201,202,21000,31490,tipo_10,viudo/a,
202,203,15000,37756,tipo_10,casado/a,
203,204,0,24357,tipo_7,casado/a,
204,205,12000,31537,tipo_10,soltero/a,
205,206,21000,25985,tipo_8,casado/a,
206,207,8400,27251,tipo_8,viudo/a,27744
207,208,18000,21313,tipo_6,soltero/a,
208,209,8400,32257,tipo_10,soltero/a,
209,210,0,33427,tipo_10,soltero/a,
210,211,8400,22034,tipo_6,soltero/a,
211,212,12000,22915,tipo_6,viudo/a,35168
212,213,8400,40560,tipo_10,casado/a,39566
213,214,21000,14678,tipo_2,casado/a,
214,215,12000,17771,tipo_4,soltero/a,
215,216,18000,35913,tipo_10,viudo/a,
216,217,0,10883,tipo_1,viudo/a,
217,218,15000,38134,tipo_10,soltero/a,
218,219,18000,30669,tipo_10,casado/a,
219,220,0,30273,tipo_10,viudo/a,38753
220,221,15000,41974,tipo_10,viudo/a,29737
221,222,0,9921,tipo_1,soltero/a,
222,223,15000,15022,tipo_3,soltero/a,
223,224,21000,15417,tipo_3,casado/a,
224,225,18000,12796,tipo_2,casado/a,
225,226,0,15912,tipo_3,soltero/a,
226,227,21000,36964,tipo_10,viudo/a,
227,228,21000,7026,tipo_1,soltero/a,20048
228,229,15000,28152,tipo_9,soltero/a,
229,230,21000,35972,tipo_10,viudo/a,
230,231,21000,26235,tipo_8,soltero/a,
231,232,8400,18524,tipo_4,casado/a,
232,233,8400,8496,tipo_1,soltero/a,10038
233,234,18000,32335,tipo_10,casado/a,23849
234,235,21000,35137,tipo_10,viudo/a,
235,236,18000,41597,tipo_10,viudo/a,
236,237,15000,37550,tipo_10,viudo/a,6875
237,238,21000,34771,tipo_10,soltero/a,28658
238,239,15000,14128,tipo_2,soltero/a,
239,240,15000,11235,tipo_1,soltero/a,35642
240,241,21000,24768,tipo_7,soltero/a,
241,242,15000,27423,tipo_9,soltero/a,33263
242,243,12000,23014,tipo_6,viudo/a,
243,244,0,8958,tipo_1,soltero/a,
244,245,12000,35750,tipo_10,soltero/a,32321
245,246,12000,15019,tipo_3,viudo/a,
246,247,0,16976,tipo_4,soltero/a,
247,248,8400,33759,tipo_10,soltero/a,8903
248,249,15000,14533,tipo_2,casado/a,
249,250,18000,9095,tipo_1,viudo/a,11624
250,251,21000,33994,tipo_10,soltero/a,28670
251,252,21000,19006,tipo_5,soltero/a,
252,253,8400,16424,tipo_3,soltero/a,28850
253,254,0,21078,tipo_6,viudo/a,29746
254,255,0,38601,tipo_10,soltero/a,
255,256,0,7646,tipo_1,soltero/a,
256,257,12000,12371,tipo_1,viudo/a,
257,258,15000,20203,tipo_5,viudo/a,
258,259,21000,41656,tipo_10,casado/a,17543
259,260,8400,16767,tipo_3,soltero/a,7202
260,261,8400,16444,tipo_3,viudo/a,33811
261,262,12000,33017,tipo_10,viudo/a,24616
262,263,15000,28990,tipo_9,viudo/a,25781
263,264,8400,7768,tipo_1,casado/a,
264,265,15000,26227,tipo_8,casado/a,
265,266,18000,36130,tipo_10,soltero/a,
266,267,15000,40660,tipo_10,soltero/a,
267,268,0,24210,tipo_7,soltero/a,
268,269,21000,18732,tipo_4,casado/a,
269,270,18000,36383,tipo_10,viudo/a,16212
270,271,18000,35621,tipo_10,viudo/a,
271,272,15000,23306,tipo_7,casado/a,11983
272,273,18000,27764,tipo_9,casado/a,
273,274,18000,24041,tipo_7,viudo/a,
274,275,12000,25777,tipo_8,viudo/a,
275,276,12000,38856,tipo_10,casado/a,
276,277,0,23389,tipo_7,viudo/a,
277,278,15000,27057,tipo_8,viudo/a,
278,279,21000,12254,tipo_1,soltero/a,
279,280,21000,26486,tipo_8,casado/a,
280,281,21000,23671,tipo_7,soltero/a,
281,282,12000,15926,tipo_3,soltero/a,
282,283,8400,9568,tipo_1,viudo/a,22491
283,284,12000,11055,tipo_1,viudo/a,
284,285,12000,40352,tipo_10,viudo/a,
285,286,8400,18047,tipo_4,viudo/a,
286,287,8400,13118,tipo_2,soltero/a,
287,288,0,8227,tipo_1,viudo/a,
288,289,8400,40832,tipo_10,casado/a,
289,290,21000,40464,tipo_10,casado/a,
290,291,0,42427,tipo_10,viudo/a,
291,292,18000,14951,tipo_3,soltero/a,
292,293,12000,39676,tipo_10,soltero/a,
293,294,0,25940,tipo_8,viudo/a,
294,295,21000,8693,tipo_1,viudo/a,
295,296,21000,18032,tipo_4,viudo/a,
296,297,12000,35424,tipo_10,viudo/a,23751
297,298,21000,7406,tipo_1,soltero/a,
298,299,12000,39227,tipo_10,viudo/a,
299,300,8400,8701,tipo_1,soltero/a,32267
300,301,18000,26554,tipo_8,casado/a,33231
301,302,12000,19921,tipo_5,viudo/a,32120
302,303,0,23642,tipo_7,viudo/a,
303,304,18000,27063,tipo_8,casado/a,27776
304,305,15000,34519,tipo_10,casado/a,
305,306,0,26839,tipo_8,viudo/a,
306,307,12000,38378,tipo_10,casado/a,
307,308,18000,41495,tipo_10,viudo/a,
308,309,15000,32157,tipo_10,viudo/a,
309,310,15000,26742,tipo_8,soltero/a,
310,311,18000,13829,tipo_2,casado/a,31204
311,312,12000,16805,tipo_4,casado/a,20319
312,313,0,38794,tipo_10,casado/a,
313,314,18000,8255,tipo_1,casado/a,
314,315,12000,6892,tipo_1,viudo/a,27266
315,316,18000,18509,tipo_4,soltero/a,
316,317,12000,23054,tipo_6,viudo/a,
317,318,18000,39328,tipo_10,casado/a,
318,319,12000,34573,tipo_10,casado/a,
319,320,15000,33548,tipo_10,casado/a,
320,321,21000,24481,tipo_7,casado/a,13635
321,322,21000,19380,tipo_5,viudo/a,
322,323,12000,35786,tipo_10,viudo/a,
323,324,0,13492,tipo_2,viudo/a,37476
324,325,18000,41552,tipo_10,soltero/a,19493
325,326,18000,25220,tipo_8,casado/a,
326,327,0,22693,tipo_6,soltero/a,
327,328,18000,28320,tipo_9,soltero/a,17095
328,329,12000,12026,tipo_1,viudo/a,21179
329,330,21000,22623,tipo_6,soltero/a,36448
330,331,12000,10498,tipo_1,casado/a,
331,332,12000,24447,tipo_7,soltero/a,
332,333,0,25038,tipo_7,soltero/a,25910
333,334,12000,16961,tipo_4,viudo/a,26699
334,335,0,7788,tipo_1,soltero/a,
335,336,15000,31316,tipo_10,soltero/a,
336,337,8400,20332,tipo_5,viudo/a,42352
337,338,18000,17161,tipo_4,soltero/a,
338,339,21000,24940,tipo_7,soltero/a,
339,340,15000,12003,tipo_1,viudo/a,
340,341,18000,30995,tipo_10,soltero/a,
341,342,21000,18837,tipo_4,soltero/a,
342,343,21000,33411,tipo_10,soltero/a,17203
343,344,18000,40181,tipo_10,casado/a,
344,345,21000,36127,tipo_10,casado/a,
345,346,21000,24605,tipo_7,soltero/a,
346,347,0,36216,tipo_10,casado/a,42511
347,348,18000,35960,tipo_10,soltero/a,37565
348,349,15000,18462,tipo_4,viudo/a,35159
349,350,18000,9699,tipo_1,soltero/a,
350,351,8400,13080,tipo_2,viudo/a,39154
351,352,15000,18931,tipo_5,soltero/a,27328
352,353,0,40944,tipo_10,casado/a,7546
353,354,12000,7231,tipo_1,viudo/a,
354,355,12000,13560,tipo_2,casado/a,34562
355,356,15000,33657,tipo_10,soltero/a,37042
356,357,12000,39049,tipo_10,casado/a,
357,358,12000,15975,tipo_3,soltero/a,
358,359,15000,9024,tipo_1,soltero/a,
359,360,0,34493,tipo_10,soltero/a,
360,361,8400,28917,tipo_9,casado/a,20561
361,362,15000,8718,tipo_1,viudo/a,
362,363,0,25148,tipo_7,viudo/a,
363,364,18000,36100,tipo_10,viudo/a,
364,365,15000,19144,tipo_5,viudo/a,
365,366,21000,38391,tipo_10,viudo/a,22524
366,367,12000,27562,tipo_9,casado/a,
367,368,8400,9673,tipo_1,casado/a,
368,369,15000,32903,tipo_10,soltero/a,
369,370,15000,37114,tipo_10,casado/a,
370,371,12000,7517,tipo_1,casado/a,
371,372,0,8572,tipo_1,viudo/a,9266
372,373,0,30121,tipo_10,soltero/a,6901
373,374,15000,32395,tipo_10,viudo/a,
374,375,0,39305,tipo_10,viudo/a,13758
375,376,21000,19788,tipo_5,soltero/a,17052
376,377,0,20163,tipo_5,viudo/a,
377,378,15000,41762,tipo_10,casado/a,
378,379,12000,37223,tipo_10,soltero/a,
379,380,12000,26917,tipo_8,soltero/a,
380,381,18000,41116,tipo_10,viudo/a,
381,382,12000,10387,tipo_1,soltero/a,
382,383,21000,15416,tipo_3,casado/a,
383,384,18000,18065,tipo_4,viudo/a,
384,385,15000,36240,tipo_10,viudo/a,
385,386,21000,36060,tipo_10,viudo/a,
386,387,18000,20815,tipo_5,soltero/a,
387,388,21000,35155,tipo_10,casado/a,
388,389,0,19493,tipo_5,casado/a,
389,390,15000,20747,tipo_5,casado/a,34810
390,391,18000,18247,tipo_4,viudo/a,28007
391,392,0,16756,tipo_3,soltero/a,
392,393,8400,8527,tipo_1,casado/a,
393,394,21000,28712,tipo_9,casado/a,
394,395,18000,30211,tipo_10,casado/a,
395,396,0,17651,tipo_4,viudo/a,
396,397,15000,17584,tipo_4,viudo/a,
397,398,21000,7609,tipo_1,soltero/a,
398,399,15000,30737,tipo_10,casado/a,10892
399,400,18000,41184,tipo_10,viudo/a,
400,401,0,17102,tipo_4,casado/a,17870
401,402,21000,28420,tipo_9,casado/a,38238
402,403,18000,20475,tipo_5,casado/a,28468
403,404,12000,38861,tipo_10,casado/a,33131
404,405,15000,22098,tipo_6,viudo/a,
405,406,21000,31180,tipo_10,soltero/a,
406,407,21000,30350,tipo_10,viudo/a,
407,408,12000,40730,tipo_10,soltero/a,7245
408,409,15000,14315,tipo_2,soltero/a,
409,410,12000,8593,tipo_1,soltero/a,
410,411,12000,34123,tipo_10,soltero/a,
411,412,21000,24401,tipo_7,soltero/a,17826
412,413,0,24927,tipo_7,soltero/a,
413,414,21000,34191,tipo_10,viudo/a,38780
414,415,18000,25444,tipo_8,soltero/a,
415,416,18000,31371,tipo_10,casado/a,
416,417,8400,21321,tipo_6,viudo/a,
417,418,8400,30669,tipo_10,soltero/a,11334
418,419,12000,16825,tipo_4,soltero/a,10191
419,420,12000,22718,tipo_6,viudo/a,
420,421,12000,10998,tipo_1,soltero/a,
421,422,0,34127,tipo_10,soltero/a,30979
422,423,15000,39036,tipo_10,casado/a,
423,424,15000,21171,tipo_6,viudo/a,
424,425,15000,9844,tipo_1,casado/a,
425,426,12000,18847,tipo_4,soltero/a,
426,427,15000,23795,tipo_7,viudo/a,
427,428,0,16036,tipo_3,casado/a,
428,429,18000,22752,tipo_6,casado/a,
429,430,0,9239,tipo_1,soltero/a,
430,431,15000,38776,tipo_10,soltero/a,12000
431,432,12000,37637,tipo_10,viudo/a,36357
432,433,0,18170,tipo_4,casado/a,
433,434,15000,40052,tipo_10,soltero/a,
434,435,18000,24698,tipo_7,casado/a,
435,436,0,33766,tipo_10,casado/a,
436,437,8400,21935,tipo_6,viudo/a,
437,438,8400,42499,tipo_10,soltero/a,
438,439,18000,38372,tipo_10,casado/a,
439,440,18000,11112,tipo_1,viudo/a,
440,441,18000,22268,tipo_6,viudo/a,7302
441,442,21000,17797,tipo_4,soltero/a,14305
442,443,21000,29195,tipo_9,soltero/a,
443,444,18000,36763,tipo_10,viudo/a,
444,445,12000,22183,tipo_6,soltero/a,21946
445,446,8400,8384,tipo_1,viudo/a,
446,447,18000,13262,tipo_2,casado/a,
447,448,8400,39795,tipo_10,casado/a,11774
448,449,21000,7557,tipo_1,casado/a,
449,450,0,14126,tipo_2,soltero/a,6845
450,451,21000,33530,tipo_10,casado/a,
451,452,0,41504,tipo_10,casado/a,21064
452,453,8400,30613,tipo_10,soltero/a,41666
453,454,21000,34142,tipo_10,casado/a,19958
454,455,12000,23766,tipo_7,viudo/a,9638
455,456,21000,28096,tipo_9,viudo/a,
456,457,12000,36317,tipo_10,soltero/a,
457,458,18000,9550,tipo_1,soltero/a,29403
458,459,21000,34987,tipo_10,soltero/a,40626
459,460,18000,12024,tipo_1,soltero/a,
460,461,15000,11939,tipo_1,viudo/a,36738
461,462,21000,18428,tipo_4,viudo/a,
462,463,8400,11135,tipo_1,casado/a,
463,464,8400,32746,tipo_10,casado/a,11268
464,465,15000,32916,tipo_10,soltero/a,
465,466,8400,36568,tipo_10,soltero/a,
466,467,21000,36535,tipo_10,soltero/a,
467,468,15000,42307,tipo_10,casado/a,34071
468,469,8400,25458,tipo_8,soltero/a,35920
469,470,15000,16913,tipo_4,soltero/a,
470,471,21000,40382,tipo_10,casado/a,
471,472,0,26836,tipo_8,viudo/a,32103
472,473,0,25327,tipo_8,soltero/a,
473,474,15000,31011,tipo_10,viudo/a,
474,475,18000,24018,tipo_7,casado/a,19772
475,476,8400,27513,tipo_9,viudo/a,
476,477,8400,29294,tipo_9,casado/a,
477,478,15000,10439,tipo_1,viudo/a,
478,479,15000,18869,tipo_4,soltero/a,
479,480,15000,11101,tipo_1,casado/a,
480,481,12000,41708,tipo_10,viudo/a,
481,482,15000,17609,tipo_4,soltero/a,
482,483,8400,30201,tipo_10,soltero/a,31779
483,484,8400,14775,tipo_3,casado/a,
484,485,15000,34611,tipo_10,soltero/a,42673
485,486,15000,41929,tipo_10,casado/a,21646
486,487,21000,16625,tipo_3,soltero/a,
487,488,0,31709,tipo_10,soltero/a,
488,489,8400,18757,tipo_4,casado/a,33599
489,490,15000,13342,tipo_2,soltero/a,
490,491,12000,40028,tipo_10,soltero/a,
491,492,8400,20364,tipo_5,casado/a,
492,493,15000,14971,tipo_3,casado/a,
493,494,18000,42276,tipo_10,casado/a,
494,495,21000,36095,tipo_10,soltero/a,23616
495,496,0,40333,tipo_10,viudo/a,35429
496,497,15000,8215,tipo_1,casado/a,41108
497,498,18000,17703,tipo_4,soltero/a,
498,499,0,30346,tipo_10,viudo/a,
499,500,0,42743,tipo_10,casado/a,
500,501,15000,32601,tipo_10,viudo/a,15461
501,502,0,12380,tipo_1,casado/a,
502,503,8400,41488,tipo_10,casado/a,
503,504,15000,31121,tipo_10,casado/a,
504,505,8400,19584,tipo_5,viudo/a,
505,506,12000,27934,tipo_9,soltero/a,
506,507,18000,40837,tipo_10,casado/a,34416
507,508,21000,18039,tipo_4,casado/a,
508,509,15000,24010,tipo_7,soltero/a,14171
509,510,15000,12114,tipo_1,viudo/a,12931
510,511,15000,27430,tipo_9,casado/a,
511,512,12000,32278,tipo_10,soltero/a,
512,513,18000,34543,tipo_10,casado/a,
513,514,21000,40048,tipo_10,viudo/a,
514,515,18000,16400,tipo_3,soltero/a,
515,516,15000,26873,tipo_8,soltero/a,
516,517,8400,34814,tipo_10,viudo/a,42722
517,518,0,6987,tipo_1,viudo/a,40805
518,519,15000,32028,tipo_10,viudo/a,
519,520,8400,32470,tipo_10,viudo/a,
520,521,21000,24838,tipo_7,viudo/a,14932
521,522,15000,32941,tipo_10,casado/a,
522,523,0,27921,tipo_9,soltero/a,23812
523,524,0,36356,tipo_10,casado/a,
524,525,8400,18926,tipo_5,soltero/a,
525,526,21000,23160,tipo_7,casado/a,35997
526,527,15000,37656,tipo_10,viudo/a,28701
527,528,8400,34112,tipo_10,soltero/a,
528,529,12000,42622,tipo_10,casado/a,
529,530,18000,41906,tipo_10,viudo/a,
530,531,0,21039,tipo_6,soltero/a,
531,532,8400,30122,tipo_10,viudo/a,25588
532,533,18000,40092,tipo_10,viudo/a,
533,534,8400,31370,tipo_10,viudo/a,22747
534,535,8400,16833,tipo_4,viudo/a,
535,536,8400,41132,tipo_10,soltero/a,
536,537,8400,25412,tipo_8,soltero/a,
537,538,0,24357,tipo_7,casado/a,35928
538,539,12000,41887,tipo_10,casado/a,33122
539,540,0,35346,tipo_10,soltero/a,
540,541,0,33748,tipo_10,casado/a,
541,542,15000,37341,tipo_10,viudo/a,
542,543,12000,24879,tipo_7,soltero/a,
543,544,21000,27678,tipo_9,viudo/a,
544,545,18000,12779,tipo_2,viudo/a,
545,546,8400,14732,tipo_3,soltero/a,41236
546,547,12000,18518,tipo_4,soltero/a,
547,548,18000,16501,tipo_3,soltero/a,6825
548,549,21000,28228,tipo_9,soltero/a,
549,550,21000,24445,tipo_7,viudo/a,
550,551,21000,17693,tipo_4,casado/a,
551,552,15000,36018,tipo_10,casado/a,
552,553,12000,9667,tipo_1,casado/a,6950
553,554,15000,17846,tipo_4,soltero/a,27454
554,555,15000,11676,tipo_1,viudo/a,24990
555,556,18000,24546,tipo_7,soltero/a,
556,557,21000,12063,tipo_1,casado/a,
557,558,21000,17719,tipo_4,viudo/a,
558,559,12000,24480,tipo_7,casado/a,29660
559,560,12000,15256,tipo_3,soltero/a,11586
560,561,15000,19265,tipo_5,casado/a,
561,562,8400,26331,tipo_8,soltero/a,31884
562,563,18000,7941,tipo_1,soltero/a,
563,564,0,11421,tipo_1,soltero/a,
564,565,12000,36539,tipo_10,soltero/a,
565,566,21000,38462,tipo_10,viudo/a,
566,567,8400,7249,tipo_1,viudo/a,
567,568,12000,41909,tipo_10,soltero/a,22593
568,569,21000,28582,tipo_9,soltero/a,
569,570,15000,42653,tipo_10,soltero/a,35194
570,571,15000,30878,tipo_10,viudo/a,
571,572,12000,36145,tipo_10,casado/a,
572,573,0,39418,tipo_10,casado/a,
573,574,8400,25546,tipo_8,soltero/a,24315
574,575,18000,32473,tipo_10,soltero/a,
575,576,15000,41180,tipo_10,viudo/a,
576,577,8400,26709,tipo_8,viudo/a,26453
577,578,8400,34238,tipo_10,viudo/a,
578,579,21000,19812,tipo_5,soltero/a,
579,580,0,33945,tipo_10,viudo/a,
580,581,0,38602,tipo_10,viudo/a,40426
581,582,8400,31000,tipo_10,casado/a,
582,583,15000,16728,tipo_3,soltero/a,
583,584,21000,32294,tipo_10,casado/a,
584,585,12000,40936,tipo_10,soltero/a,
585,586,21000,42378,tipo_10,casado/a,
586,587,15000,16623,tipo_3,soltero/a,7932
587,588,0,18915,tipo_5,soltero/a,21819
588,589,15000,25435,tipo_8,soltero/a,37824
589,590,12000,30602,tipo_10,soltero/a,10057
590,591,18000,33290,tipo_10,soltero/a,
591,592,18000,21133,tipo_6,soltero/a,
592,593,12000,8145,tipo_1,casado/a,38908
593,594,21000,15128,tipo_3,soltero/a,
594,595,15000,11287,tipo_1,viudo/a,
595,596,21000,38271,tipo_10,casado/a,32220
596,597,21000,10213,tipo_1,casado/a,
597,598,8400,42156,tipo_10,soltero/a,40108
598,599,0,21603,tipo_6,viudo/a,30563
599,600,0,36046,tipo_10,viudo/a,33217
